FECHA; TIPO DIA; DOCEAVO; NVEHICULOS; OCUPACION; MUESTRAS
2022-01-13 00:00:00.000;L;95;43,76557;11,19414;273
2022-01-12 00:00:00.000;L;94;43,73571;11,55714;280
2022-01-11 00:00:00.000;L;96;43,98928;11,46429;280
2022-01-10 00:00:00.000;L;95;43,66429;11,525;280
2022-01-09 00:00:00.000;F;226;28,98214;8,739285;280
2022-01-08 00:00:00.000;S;165;31,06786;7,471428;280
2022-01-07 00:00:00.000;L;173;39,80714;11,35357;280
2022-01-06 00:00:00.000;F;168;28,40357;6,621428;280
2022-01-05 00:00:00.000;L;171;42,96786;15,20714;280
2022-01-04 00:00:00.000;L;171;41,975;13,05357;280
2022-01-03 00:00:00.000;L;173;40,68214;11,02857;280
2022-01-02 00:00:00.000;F;165;29,87857;7,35;280
2022-01-01 00:00:00.000;F;233;20,02151;3,9319;279
2021-12-31 00:00:00.000;L;161;34,96786;8,671429;280
2021-12-30 00:00:00.000;L;173;40,72628;10,21533;274
2021-12-29 00:00:00.000;L;173;41,69643;11,51071;280
2021-12-28 00:00:00.000;L;171;42,1223;12,03237;278
2021-12-27 00:00:00.000;L;171;39,60357;10,71071;280
2021-12-26 00:00:00.000;F;166;26,63571;6,096428;280
2021-12-25 00:00:00.000;F;168;21,57509;4,941392;273
2021-12-24 00:00:00.000;L;165;35,60071;9,155477;283
2021-12-23 00:00:00.000;L;173;39,90559;16,83916;286
2021-12-22 00:00:00.000;L;95;41,22028;11,72378;286
2021-12-21 00:00:00.000;L;95;44,46831;13,17958;284
2021-12-20 00:00:00.000;L;95;44,86713;12,53846;286
2021-12-19 00:00:00.000;F;166;29,44755;7,412588;286
2021-12-18 00:00:00.000;S;167;36,5;10,30769;286
2021-12-17 00:00:00.000;L;176;47,87762;19,8042;286
2021-12-16 00:00:00.000;L;99;48;13,17333;75
2021-12-15 00:00:00.000;L;191;57,33333;24;15
2021-12-14 00:00:00.000;L;94;47,11189;13,52797;286
2021-12-13 00:00:00.000;L;96;46,55245;13,17832;286
2021-12-12 00:00:00.000;F;164;29,69231;7,755245;286
2021-12-11 00:00:00.000;S;171;37,06993;9,884615;286
2021-12-10 00:00:00.000;L;171;46,82168;15,96853;286
2021-12-09 00:00:00.000;L;171;46,60839;13,98252;286
2021-12-08 00:00:00.000;F;163;30,05965;8,761403;285
2021-12-07 00:00:00.000;L;171;39,86121;12,03915;281
2021-12-06 00:00:00.000;F;165;26,70175;6,659649;285
2021-12-05 00:00:00.000;F;164;29,64912;7,947369;285
2021-12-04 00:00:00.000;S;161;39,33333;12,55088;285
2021-12-03 00:00:00.000;L;171;47,19014;18,06338;284
2021-12-02 00:00:00.000;L;94;46,63121;13,20922;282
2021-12-01 00:00:00.000;L;173;47,52482;14,51773;282
2021-11-30 00:00:00.000;L;96;46,30986;13,75352;284
2021-11-29 00:00:00.000;L;95;46,81362;13,72401;279
2021-11-28 00:00:00.000;F;155;32,07169;9,268817;279
2021-11-27 00:00:00.000;S;166;37,58781;9,74552;279
2021-11-26 00:00:00.000;L;173;48,44444;20,14337;279
2021-11-25 00:00:00.000;L;173;47,3617;14,92553;282
2021-11-24 00:00:00.000;L;95;47,50355;14,39716;282
2021-11-23 00:00:00.000;L;95;46,20922;14,2766;282
2021-11-22 00:00:00.000;L;94;46,66667;13,15603;282
2021-11-21 00:00:00.000;F;165;25,07117;5,779359;281
2021-11-20 00:00:00.000;S;171;34,6773;9,124113;282
2021-11-19 00:00:00.000;L;173;48,84397;18,19149;282
2021-11-18 00:00:00.000;L;176;45,26596;13,40425;282
2021-11-17 00:00:00.000;L;173;47,09474;15,09123;285
2021-11-16 00:00:00.000;L;174;46,19298;14,5193;285
2021-11-15 00:00:00.000;L;171;46,26667;13,00702;285
2021-11-14 00:00:00.000;F;233;34,35211;9,570422;284
2021-11-13 00:00:00.000;S;171;36,07018;9,71579;285
2021-11-12 00:00:00.000;L;174;47,42105;18,66667;285
2021-11-11 00:00:00.000;L;173;47,46975;16,09964;281
2021-11-10 00:00:00.000;L;173;46,74386;14,70175;285
2021-11-09 00:00:00.000;L;173;47,07292;14,37153;288
2021-11-08 00:00:00.000;L;95;46,04861;14,73264;288
2021-11-07 00:00:00.000;F;233;31,84828;8,203448;290
2021-11-06 00:00:00.000;S;166;36,71379;11,15862;290
2021-11-05 00:00:00.000;L;176;50,10345;18,91724;290
2021-11-04 00:00:00.000;L;94;46,48958;14,33681;288
2021-11-03 00:00:00.000;L;95;47,07857;15,52857;280
2021-11-02 00:00:00.000;L;95;47,48921;15,14748;278
2021-11-01 00:00:00.000;F;162;28,7446;8,251799;278
2021-10-31 00:00:00.000;F;164;24,46403;5,895683;278
2021-10-30 00:00:00.000;S;164;33,74475;9,807693;286
2021-10-29 00:00:00.000;L;96;47,45804;13,57692;286
2021-10-28 00:00:00.000;L;95;47,33688;15,21277;282
2021-10-27 00:00:00.000;L;95;48,86331;14,51439;278
2021-10-26 00:00:00.000;L;95;46,69858;14,53901;282
2021-10-25 00:00:00.000;L;96;47;14,8386;285
2021-10-24 00:00:00.000;F;248;32,75175;8,461538;286
2021-10-23 00:00:00.000;S;170;34,12238;8,472028;286
2021-10-22 00:00:00.000;L;171;48,26574;18,17133;286
2021-10-21 00:00:00.000;L;96;47,28421;14,18596;285
2021-10-20 00:00:00.000;L;96;48,40909;14,41608;286
2021-10-19 00:00:00.000;L;96;48,37895;13,95789;285
2021-10-18 00:00:00.000;L;96;47,61754;14,12632;285
2021-10-17 00:00:00.000;F;242;28,65357;6,735714;280
2021-10-16 00:00:00.000;S;170;34,15385;9,038462;286
2021-10-15 00:00:00.000;L;171;49,0035;16,64336;286
2021-10-14 00:00:00.000;L;95;47,51748;14,41259;286
2021-10-13 00:00:00.000;L;95;47,73077;15,45105;286
2021-10-12 00:00:00.000;F;245;30,15734;7,059441;286
2021-10-11 00:00:00.000;L;171;43,01748;12,20629;286
2021-10-10 00:00:00.000;F;246;28,28975;6,180212;283
2021-10-09 00:00:00.000;S;170;34,31469;8,444056;286
2021-10-08 00:00:00.000;L;171;47,50699;17,75874;286
2021-10-07 00:00:00.000;L;95;48,29749;14,95341;279
2021-10-06 00:00:00.000;L;94;47,48421;13,5193;285
2021-10-05 00:00:00.000;L;95;47,39711;14,45848;277
2021-10-04 00:00:00.000;L;95;47,27174;14,6413;276
2021-10-03 00:00:00.000;F;163;27,38628;6,855596;277
2021-10-02 00:00:00.000;S;172;34,65704;9,469314;277
2021-10-01 00:00:00.000;L;173;47,44765;18,81588;277
2021-09-30 00:00:00.000;L;96;46,50922;13,97786;271
2021-09-29 00:00:00.000;L;176;46,78277;15,13483;267
2021-09-28 00:00:00.000;L;96;46,82463;15,21269;268
2021-09-27 00:00:00.000;L;96;46,12868;13,93015;272
2021-09-26 00:00:00.000;F;245;29,79779;7,698529;272
2021-09-25 00:00:00.000;S;250;34,48529;10,38235;272
2021-09-24 00:00:00.000;L;176;44,95572;19,64576;271
2021-09-23 00:00:00.000;L;95;44,10088;13,88597;228
2021-09-22 00:00:00.000;L;96;45,54148;13,79476;229
2021-09-21 00:00:00.000;L;93;45,99548;12,61991;221
2021-09-20 00:00:00.000;L;171;45,61991;13,53394;221
2021-09-19 00:00:00.000;F;251;33,59276;9,257918;221
2021-09-18 00:00:00.000;S;171;31,58182;7,440909;220
2021-09-17 00:00:00.000;L;173;46,77273;16,95455;220
2021-09-16 00:00:00.000;L;171;44,69091;13,56364;220
2021-09-15 00:00:00.000;L;173;42,57587;17,42412;257
2021-09-14 00:00:00.000;L;171;43,04781;13,4263;251
2021-09-13 00:00:00.000;L;171;43,26033;13,45868;242
2021-09-12 00:00:00.000;F;248;24,99177;5,773663;243
2021-09-11 00:00:00.000;S;165;27,87805;6,353659;246
2021-09-10 00:00:00.000;L;173;44,47581;15,75403;248
2021-09-09 00:00:00.000;L;171;41,83333;14,58527;258
2021-09-08 00:00:00.000;L;171;41,83657;14,55253;257
2021-09-07 00:00:00.000;L;171;41,8;11,02353;255
2021-09-06 00:00:00.000;L;173;41,90196;13,19608;255
2021-09-05 00:00:00.000;F;248;23,58566;5,557769;251
2021-09-04 00:00:00.000;S;146;25,23922;5,956863;255
2021-09-03 00:00:00.000;L;171;41,56078;12,40784;255
2021-09-02 00:00:00.000;L;171;40,46667;11,07451;255
2021-09-01 00:00:00.000;L;173;42,16475;13,29885;261
2021-08-31 00:00:00.000;L;171;38,55172;9,904215;261
2021-08-30 00:00:00.000;L;183;39,22692;9,876923;260
2021-08-29 00:00:00.000;F;249;20,95402;6,48659;261
2021-08-28 00:00:00.000;S;151;22,75097;5,424125;257
2021-08-27 00:00:00.000;L;171;37,00741;10,35556;270
2021-08-26 00:00:00.000;L;171;34,70111;8,597786;271
2021-08-25 00:00:00.000;L;183;35,76384;8,154982;271
